"2025-11-24 02:58:25 INFO  c.e.w.WhodoPaymentorderServiceApplication - Starting WhodoPaymentorderServiceApplication using Java 21.0.6 with PID 76992 (C:\Users\Gonzalo Diaz Mizzau\IdeaProjects\whodo-paymentorder-service\target\classes started by Gonzalo Diaz Mizzau in C:\Users\Gonzalo Diaz Mizzau\IdeaProjects\whodo-paymentorder-service)
""2025-11-24 02:58:25 DEBUG c.e.w.WhodoPaymentorderServiceApplication - Running with Spring Boot v3.5.7, Spring v6.2.12
""2025-11-24 02:58:25 INFO  c.e.w.WhodoPaymentorderServiceApplication - No active profile set, falling back to 1 default profile: "default"
""2025-11-24 02:58:26 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive MongoDB repositories in DEFAULT mode.
""2025-11-24 02:58:26 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Reactive MongoDB repository interfaces.
""2025-11-24 02:58:26 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
""2025-11-24 02:58:26 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 MongoDB repository interfaces.
""2025-11-24 02:58:26 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8444 (http)
""2025-11-24 02:58:26 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2025-11-24 02:58:26 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
""2025-11-24 02:58:26 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2025-11-24 02:58:26 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1085 ms
""2025-11-24 02:58:26 INFO  org.mongodb.driver.cluster - Adding discovered server ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017 to client view of cluster
